,OKGETULSALD2_4,WAUECBSCHALLD1_UGPM_BEPM,CSWSGILLIAMLDLD01,NPPDNORFK_NLDBRPS_LOAD2,CSWSKNOXLEEUN3,SECIPRATT1LDPRATT_CITY,WAUEWATERPPLDLD6_UGPM_MRES,SPSDUVAL_2LD1,WFECRNGWOODLD2,WAUEWAUE_OTPLDLAKPRESTON_ERC
32,45.498500000000014,43.210200000000015,49.455600000000004,43.90720000000001,46.86370000000001,41.741600000000005,42.13960000000001,42.0124,45.67380000000001,41.77720000000001
33,45.548572715507,43.34926485704584,49.23086294809056,44.043948047995855,46.65638332171331,41.87828137927065,42.19057431846789,42.220907073272,45.77918458300486,41.820566483336016
34,45.743343882432804,43.65077583050066,49.15453626290585,44.30191388889279,46.58612612020703,42.28277931715569,42.451827359490935,42.764750711630015,46.070200231169935,42.06428496113397
35,45.92419310814222,43.92547388870515,49.12076644626823,44.511847785343335,46.55628085859724,42.72446259646289,42.716116720768525,43.352168994173034,46.347040763750044,42.30656095836493
36,45.932500000000005,43.9841,49.02370000000001,44.50450000000001,46.470200000000006,42.9727,42.77620000000001,43.69140000000001,46.40990000000001,42.3456
37,45.67960828449264,43.708952877368105,48.806945957875605,44.178925525300656,46.27653804099925,42.88141552131536,42.50060004097146,43.594769107614184,46.14230925344348,42.05396234366642
38,45.35671816459348,43.26856221236138,48.61196348147765,43.707398272824506,46.10515761205023,42.64275399691965,42.060900671815645,43.29095089313587,45.76114981467942,41.60162717761634
39,45.22499396239758,42.90301544117397,48.629674264340885,43.3304968839361,46.13122337707611,42.533415474064114,41.704450966752006,43.11270723208962,45.56664046857566,41.232928422758086
40,45.5456,42.8524,49.050999999999995,43.288799999999995,46.5299,42.8301,41.6786,43.3928,45.858999999999995,41.19219999999999
41,46.46647852152244,43.304692383481736,49.96950322040706,43.76861235080155,47.38712857678974,43.7007612229679,42.170822392646315,44.329357121271286,46.81523934072125,41.66407164199826
42,47.68268345919326,44.239425320053805,51.08930981118353,44.73914301980921,48.431955931592036,44.87836719516571,43.12909495324652,45.581970715826536,48.11953801011237,42.59435632840062
43,48.77604666726745,45.58402059659898,52.01718649636825,46.11532717891228,49.30420532059832,45.987139569780666,44.44152003722348,46.675598952468526,49.33286767444729,43.86916285060267
44,49.32840000000002,47.265900000000016,52.3599,47.812100000000015,49.64370000000001,46.6513,45.99620000000001,47.13520000000001,50.016200000000005,45.374600000000015
45,49.12580262941762,49.226896338705004,51.93538647299617,49.763053196493196,49.28565233934181,46.67643958681304,47.71705570094335,46.69508990730069,49.93883338367152,47.03511202584052
