,time,num_0,CPU_usage_0,RAM_usage_0,num_1,CPU_usage_1,RAM_usage_1,num_2,CPU_usage_2,RAM_usage_2,CPU,RAM
14,14,7058.0,0.020183778774999734,0.014815063033333986,7007.0,0.015482623683334576,0.01770863116416916,409.0,0.0016181417499999914,0.0005747617666666624,0.037284544208334304,0.03309845596416981
15,15,38485.0,0.10721470575003905,0.0897360131833328,26741.0,0.09460346894163425,0.05612577816663901,539.0,0.0019839201666666567,0.0008449942666666635,0.20380209485833994,0.14670678561663847
16,16,13031.0,0.049231611383333984,0.03082302261666877,14270.0,0.04076491241667114,0.029041165164164152,293.0,0.0009344075833333323,0.0005122327249999981,0.09093093138333845,0.06037642050583292
17,17,12570.0,0.03664260435000107,0.06707583931667137,5732.0,0.02057479758333249,0.010435291333333424,633.0,0.0020152494166666593,0.001165011950000003,0.05923265135000023,0.0786761426000048
18,18,10216.0,0.03142822983333183,0.04354406425000208,8616.0,0.03089988360000295,0.012931841414166634,515.0,0.0018000506666666566,0.0006620292499999991,0.06412816410000144,0.05713793491416872
19,19,7318.0,0.013340132500000301,0.012316871066666332,6766.0,0.020431430691666704,0.010318870583333755,675.0,0.003947882250000023,0.0010053645833333288,0.03771944544166703,0.023641106233333414
20,20,9788.0,0.020612904675002874,0.028726059266666538,2392.0,0.008057738750000147,0.004699425414166709,913.0,0.004939142033333333,0.0012131988666666644,0.03360978545833636,0.03463868354749992
21,21,46861.0,0.12374821795006938,0.09818507080002148,31019.0,0.11125462708329859,0.08101114833336573,610.0,0.005568524091666685,0.0014597312483333293,0.24057136912503466,0.18065595038172053
22,22,25194.0,0.05548993618334677,0.039863011391655094,4164.0,0.0101880308499999,0.0059453704975002,755.0,0.0037395127000000414,0.0011533978416666706,0.06941747973334671,0.046961779730821974
23,23,30317.0,0.06555921703334132,0.046314707066653985,12989.0,0.059722739858332805,0.02930812633332947,692.0,0.0033868171750000386,0.0011164279000000022,0.12866877406667415,0.07673926129998344
24,24,10512.0,0.020075799716664938,0.01611478704999931,4014.0,0.015581912750000182,0.011315256580833297,589.0,0.0033403639500000047,0.0009552219249999978,0.038998076416665126,0.028385265555832602
25,25,25204.0,0.06069293924167586,0.04485723949998775,9111.0,0.055732834083329866,0.027399749833332484,472.0,0.0028496425000000057,0.0014921011166666685,0.11927541582500573,0.0737490904499869
26,26,32785.0,0.08326418774170556,0.06198465801664307,10998.0,0.02661477579166774,0.0222142635808305,1299.0,0.006714901366666603,0.0036058241333333423,0.1165938649000399,0.0878047457308069
27,27,10031.0,0.01982638032499957,0.014133821449999645,3436.0,0.011661613966666746,0.010732307083333309,556.0,0.0021534787416666707,0.0008431775916666721,0.03364147303333299,0.02570930612499963
28,28,9005.0,0.018605481799999653,0.014536293533333989,4561.0,0.014401878458332839,0.008941013997500125,404.0,0.0014665929166666617,0.0007280000833333305,0.034473953174999156,0.02420530761416745
29,29,10071.0,0.014449590233333415,0.013016486333334038,5463.0,0.017877592250000043,0.016565213000000554,291.0,0.001103370249999998,0.000751000416666667,0.03343055273333345,0.03033269975000126
30,30,9065.0,0.024896615033334166,0.01089732113333395,2964.0,0.015230685350000238,0.006489531164166605,415.0,0.0016182574499999944,0.00048787568333333406,0.041745557833334404,0.017874727980833886
31,31,21139.0,0.06285838810000399,0.03839865778332687,21506.0,0.06455598735832321,0.06196190441666894,763.0,0.004151542833333313,0.00241762847500001,0.13156591829166053,0.10277819067499583
32,32,51892.0,0.14970994794172238,0.12051044476672043,29504.0,0.10760536733333934,0.08714057466414651,360.0,0.0014381048499999985,0.000839973616666665,0.2587534201250617,0.2084909930475336
33,33,18452.0,0.06361348755834206,0.032702072366662505,20930.0,0.08868538458333787,0.032128831749986354,511.0,0.0020579590916666676,0.0009435799666666666,0.15435683123334662,0.06577448408331552
34,34,3940.0,0.009206824374999745,0.005018488949999818,17545.0,0.017904616624999703,0.014248452830833381,1209.0,0.003871826841666739,0.001386255866666671,0.030983267841666186,0.02065319764749987
35,35,38466.0,0.09148199346670315,0.06317326798332756,32438.0,0.09207360960827443,0.08053119283335261,531.0,0.0021101533333333315,0.0008097850499999931,0.1856657564083109,0.14451424586668016
36,36,19250.0,0.04374902869166017,0.03642735734999293,17055.0,0.07387867539999558,0.1375580331641869,329.0,0.001330060983333331,0.0009615226166666657,0.1189577650749891,0.17494691313084654
37,37,43950.0,0.10459826085835647,0.07964300849999512,24684.0,0.1167794079999746,0.17803378795002345,279.0,0.0010259473333333327,0.0005893842999999978,0.22240361619166443,0.25826618075001856
38,38,25552.0,0.08356956886668145,0.04794974873332424,10649.0,0.03322322051666869,0.02214210499750159,304.0,0.0011746084999999986,0.0006157579499999978,0.11796739788335013,0.07070761168082583
39,39,21660.0,0.044598047508327826,0.03635830659999284,19394.0,0.04778594994166944,0.04351217141665749,625.0,0.0026041743333333413,0.0010902646333333342,0.0949881717833306,0.08096074264998367
40,40,10949.0,0.02751447774999943,0.018202759533334834,13722.0,0.029219789499998296,0.025581755164163222,641.0,0.002447022324999999,0.0006274458249999968,0.05918128957499772,0.04441196052249805
41,41,9952.0,0.02505163485000073,0.0096066656217579,15702.0,0.0336912772500006,0.031230468583325594,788.0,0.0033073771666666703,0.0016219043833333357,0.06205028926666801,0.042459038588416834
42,42,6351.0,0.010697945325000083,0.007847666133332886,10969.0,0.018448670291667288,0.018526178139164885,601.0,0.002536521333333338,0.0011668201166666638,0.031683136950000704,0.02754066438916444
43,43,16657.0,0.04429812386666738,0.03601024591527476,36419.0,0.16420363435826257,0.28471429791673103,689.0,0.0028361741750000135,0.0008377823833333247,0.21133793239992996,0.3215623262153391
44,44,28990.0,0.04451369791665557,0.0523164122166599,7865.0,0.04152913089166708,0.015159245997500933,387.0,0.0016601236166666645,0.0012593629500000005,0.08770295242498931,0.06873502116416083
45,45,16761.0,0.04415277095833314,0.02963514048333191,6017.0,0.023822753499999447,0.008563124083333457,470.0,0.0019463976166666675,0.0009118590333333347,0.06992192207499925,0.0391101235999987
46,46,10163.0,0.023729530366666286,0.0209489160666677,2939.0,0.017044478349999403,0.005407050080833497,833.0,0.003435312250000028,0.000994157566666661,0.044209320966665716,0.02735012371416786
47,47,10059.0,0.011834352966667183,0.013521638666666313,7045.0,0.01944028663333106,0.01113695849999869,628.0,0.0023525779750000033,0.0007219688833333302,0.033627217574998244,0.025380566049998336
48,48,15436.0,0.03091465215832834,0.026050649255093275,7993.0,0.028549209141665605,0.009045004164166518,420.0,0.0016244239749999962,0.0006360506999999998,0.06108828527499394,0.03573170411925979
49,49,47443.0,0.14108009585006925,0.09915193149997373,33322.0,0.16358578383334413,0.2822079774167207,369.0,0.0014522644249999985,0.0009999890500000002,0.30611814410841337,0.3823598979666944
50,50,33241.0,0.07466671143334287,0.07793847829166306,13260.0,0.04666022229166911,0.031500769664166026,681.0,0.002909692166666675,0.0011330514499999981,0.12423662589167865,0.11057229940582909
51,51,25177.0,0.04017821406666065,0.049141532637473055,4721.0,0.01743090741666664,0.013170529749999896,1142.0,0.006194440175000016,0.0020910471750000205,0.0638035616583273,0.06440310956247296
52,52,58909.0,0.11721996967506366,0.1178581065833819,5332.0,0.02076282816666679,0.010913941414166649,489.0,0.0022093939166666606,0.0008087431999999984,0.14019219175839712,0.12958079119754856
53,53,27379.0,0.050674788799998045,0.05560484910000395,6942.0,0.027753299833333307,0.009951543750000371,567.0,0.0028278156666666637,0.0009475401333333356,0.08125590429999802,0.06650393298333766
54,54,21313.0,0.046648384500005996,0.04865274071666756,4751.0,0.030728228849999956,0.008477756080833308,537.0,0.0026166579999999974,0.0008949587583333265,0.07999327135000596,0.0580254555558342
55,55,11032.0,0.023721017475001042,0.022067369833335307,3508.0,0.004614519191666735,0.007952125916666351,444.0,0.001968674833333329,0.0005211512999999989,0.030304211500001108,0.030540647050001656
56,56,17257.0,0.049418340308333315,0.033887846600003504,3982.0,0.00708623100000032,0.006728661664166448,380.0,0.0014915828333333314,0.0005097594499999983,0.05799615414166697,0.04112626771416995
57,57,22765.0,0.05838116575834128,0.03998670661666442,14158.0,0.0644777086666675,0.02258461058333154,485.0,0.0019431997833333316,0.000792958999999997,0.1248020742083421,0.06336427619999595
58,58,47186.0,0.13267182615838255,0.08880207210001866,35958.0,0.13276552979168957,0.08279691783081414,818.0,0.0031074083666666834,0.0012677852500000114,0.26854476431673885,0.17286677518083282
59,59,32832.0,0.10032749349168317,0.06772301917761737,22014.0,0.09798811035834339,0.0564496804999902,1371.0,0.005538041558333381,0.0037916125666666994,0.20385364540835993,0.12796431224427426
60,60,27255.0,0.055726603483336266,0.050613337274219655,17363.0,0.0544720503083396,0.027663060080833718,559.0,0.002276607783333335,0.0008770235250000016,0.11247526157500921,0.07915342088005337
61,61,62850.0,0.16721635578338406,0.15269813541901528,33600.0,0.11182832966671367,0.08015271258332805,1877.0,0.005494273249999998,0.0166438526916662,0.2845389587000977,0.24949470069400956
62,62,32564.0,0.08669661232500758,0.08242852656668742,17832.0,0.07187120243332952,0.04675637216415979,469.0,0.0019828684999999924,0.000645570566666667,0.1605506832583371,0.12983046929751385
63,63,26198.0,0.07576765940833777,0.0601235472499964,10414.0,0.04406191321666625,0.021418122583332908,769.0,0.003295184400000033,0.0010004050499999937,0.12312475702500407,0.0825420748833293
64,64,15185.0,0.05317485995000082,0.036741734114995914,4363.0,0.011363808725000544,0.004625931414167046,818.0,0.0035416980666666885,0.001497730866666675,0.06808036674166805,0.04286539639582963
65,65,26038.0,0.0757079266666674,0.04379242101500115,15519.0,0.060920345666669116,0.016842711916664282,843.0,0.003579569250000009,0.001868983466666674,0.14020784158333652,0.0625041163983321
66,66,28125.0,0.0933042189333417,0.056084323316657775,26824.0,0.09933439120833071,0.04195174416416555,1004.0,0.0034979329000000194,0.0018343700666666747,0.19613654304167244,0.09987043754749
67,67,6987.0,0.019816993025000586,0.01574607300000079,9037.0,0.02487207524999847,0.01214616149999883,816.0,0.0029492336666666788,0.0011454542666666683,0.04763830194166573,0.029037688766666292
68,68,30645.0,0.11610150815001202,0.07389882428333451,10162.0,0.04367727674999957,0.021354274414165982,4003.0,0.010967248116666673,0.0091867651000003,0.1707460330166783,0.1044398637975008
69,69,26400.0,0.09223879626667467,0.06046276324999313,16481.0,0.07035837583333486,0.03827026383333424,3834.0,0.010815920866666625,0.008745620066666862,0.17341309296667615,0.10747864714999424
70,70,21306.0,0.07583559561666822,0.04587645461665614,13053.0,0.054402515183333694,0.02958924550000007,2160.0,0.00735817516666661,0.004470995366666603,0.13759628596666854,0.07993669548332281
