OKGETULSALD2_4,WAUECBSCHALLD1_UGPM_BEPM,CSWSGILLIAMLDLD01,NPPDNORFK_NLDBRPS_LOAD2,CSWSKNOXLEEUN3,SECIPRATT1LDPRATT_CITY,WAUEWATERPPLDLD6_UGPM_MRES,SPSDUVAL_2LD1,WFECRNGWOODLD2,WAUEWAUE_OTPLDLAKPRESTON_ERC
59.00954719,50.73284775,59.16427922,48.2401606,57.07922551,64.57701919,47.26962227,43.85015584,59.79591011,47.12070921
57.62604164,50.07095179,57.86024965,47.92923978,55.75509948,63.44893296,46.87714201,44.87207933,58.45265109,46.63223678
56.3996,48.6497,56.8809,46.8197,54.6995,62.2425,45.7629,45.8452,57.1672,45.4572
55.44098129,46.18773081,56.31762651,44.53642324,54.00307336,61.06927443,43.57315965,46.55616706,56.03959895,43.27705766
54.73933063,43.15566418,56.08153221,41.58007413,53.60479371,60.04727553,40.77124049,47.04162621,55.11400668,40.53654263
54.25338966,40.21211546,56.0386468,38.67026295,53.40571721,59.29613886,38.02472608,47.40072226,54.42061107,37.87120628
53.9419,38.0157,56.055,36.5266,53.3069,58.9355,36.0012,47.7326,53.9896,35.9166
53.74995662,37.02458663,56.00868569,35.65253874,53.21280529,59.00812522,35.16609189,48.09793043,53.81359637,35.11406887
53.56806777,36.89515805,55.82605444,35.68690538,53.04152464,59.2493037,35.17621579,48.4034893,53.73496316,35.12813278
53.27309504,37.08335044,55.44552097,36.05236933,52.71455667,59.31745533,35.48623178,48.51757851,53.55849837,35.42910529
52.7419,37.0451,54.8055,36.1716,52.1534,58.871,35.5508,48.3085,53.089,35.4873
51.89800942,36.38068831,53.87954008,35.61848744,51.31576328,57.69039344,34.9692134,47.69400182,52.19992651,34.91381372
50.85161078,35.26777863,52.78172503,34.57180435,50.30419522,56.04423468,33.91929637,46.78961659,51.03937818,33.88287627
49.75955675,34.02837964,51.66127246,33.36154408,49.25745455,54.32315858,32.72350616,45.76032307,49.82411576,32.70950068
48.7787,32.9845,50.6674,32.3177,48.3143,52.9178,31.7043,44.7711,48.7709,31.7087
48.0207307,32.38323513,49.90640397,31.69783651,47.57457597,52.09358696,31.11326856,43.94609353,48.03331479,31.12589654
47.41668911,32.17202742,49.31289545,31.46980222,46.98246949,51.61512009,30.91853622,43.24611934,47.51223663,30.92814965
46.85245295,32.223406,48.7785642,31.52901683,46.44325326,51.12179317,31.01736076,42.59116048,47.04536516,31.01292794
46.2139,32.4099,48.1951,31.7709,45.8622,50.253,31.307,41.9012,46.4704,31.2777
45.46239589,32.64680711,47.52879247,32.12477123,45.21346098,48.80401185,31.71703423,41.15997092,45.71301432,31.65301104
44.8612578,33.02049919,47.04433068,32.65554926,44.74670184,47.19360997,32.30633376,40.60620605,45.05077529,32.20171262
44.74929081,33.66011668,47.08100355,33.46205266,44.78046677,45.99645311,33.16609141,40.54238816,44.84922362,33.01973288
45.4653,34.6948,47.9781,34.6431,45.6333,45.7872,34.3875,41.271,45.4739,34.203
47.34809044,36.25368957,50.07490895,36.29750984,47.62374573,47.14050939,36.06175234,43.09452434,47.29034513,35.84744212
50.7364672,38.46592581,53.71071932,38.52410074,51.07034816,50.63104003,38.28004124,46.31544395,50.66409971,38.04898738
55.96923536,41.46064914,59.22482003,41.42169127,56.29165152,56.83345065,41.13355952,51.23624158,55.96070443,40.90356396
